Date,Name,Year,Letterboxd URI
2018-03-12,Ex Machina,2015,https://boxd.it/7T2k
2018-03-12,Before Sunrise,1995,https://boxd.it/2bcU
2018-03-12,Before Sunset,2004,https://boxd.it/2bcg
2018-03-12,Before Midnight,2013,https://boxd.it/4ive
2018-03-12,Dogville,2003,https://boxd.it/2a8W
2018-03-12,La La Land,2016,https://boxd.it/a5fa
2018-03-12,The Devil Wears Prada,2006,https://boxd.it/2awE
2018-03-12,The Sound of Music,1965,https://boxd.it/1MLK
2018-03-12,Arrival,2016,https://boxd.it/aNGk
2018-03-12,Rebecca,1940,https://boxd.it/2aQa
2018-03-12,Casablanca,1942,https://boxd.it/2aG0
2018-03-12,Singin' in the Rain,1952,https://boxd.it/29oY
2018-03-12,Lawrence of Arabia,1962,https://boxd.it/2wRE
2018-03-12,The Godfather,1972,https://boxd.it/2aNK
2018-03-12,The Godfather Part II,1974,https://boxd.it/2aNq
2018-03-12,Scarface,1983,https://boxd.it/2b7g
2018-03-12,"Paris, Texas",1984,https://boxd.it/29Ts
2018-03-12,Kill Bill: Vol. 1,2003,https://boxd.it/70w
2018-03-12,Gangs of New York,2002,https://boxd.it/25FG
2018-03-12,Primal Fear,1996,https://boxd.it/28ws
2018-03-12,Pulp Fiction,1994,https://boxd.it/29Pq
2018-03-12,The Usual Suspects,1995,https://boxd.it/29XE
2018-03-12,Se7en,1995,https://boxd.it/29zs
2018-03-12,Fargo,1996,https://boxd.it/2aHM
2018-03-12,Notting Hill,1999,https://boxd.it/2aeK
2018-03-12,Million Dollar Baby,2004,https://boxd.it/2bdI
2018-03-12,Manderlay,2005,https://boxd.it/27Mu
2018-03-12,"I, Tonya",2017,https://boxd.it/dzR0
2018-03-12,There Will Be Blood,2007,https://boxd.it/20Z2
2018-03-12,The Wolf of Wall Street,2013,https://boxd.it/3C1m
2018-03-12,Wild Tales,2014,https://boxd.it/7UmK
2018-06-01,Mamma Mia!,2008,https://boxd.it/1Tnq
2018-09-09,Interstellar,2014,https://boxd.it/4VZ8
2019-03-28,Boogie Nights,1997,https://boxd.it/23um
2019-06-03,Always Be My Maybe,2019,https://boxd.it/iB2y
2019-07-19,Moulin Rouge!,2001,https://boxd.it/29wI
2020-06-08,13th,2016,https://boxd.it/elNg
2020-07-28,Normal People,2020,https://boxd.it/q2VY
2020-11-23,The Queen's Gambit,2020,https://boxd.it/s1Ym
2020-12-20,The Holiday,2006,https://boxd.it/28ye
2021-03-22,How to Lose a Guy in 10 Days,2003,https://boxd.it/1XwG
2021-04-12,You've Got Mail,1998,https://boxd.it/1Yye
2021-04-14,Crazy Rich Asians,2018,https://boxd.it/gfnK
2021-04-14,No Strings Attached,2011,https://boxd.it/YUs
2021-06-03,Friends: The Reunion,2021,https://boxd.it/pOQq
2022-05-28,Everything Everywhere All at Once,2022,https://boxd.it/jUk4
2023-07-24,Barbie,2023,https://boxd.it/bCLK
2023-08-27,The Celebration,1998,https://boxd.it/2aCM
2023-08-27,Shiva Baby,2020,https://boxd.it/oIv0
2024-01-27,Past Lives,2023,https://boxd.it/oNB8
2024-03-11,Dune: Part Two,2024,https://boxd.it/pUfA
2024-05-04,The Holdovers,2023,https://boxd.it/vHza
2024-05-04,Challengers,2024,https://boxd.it/zld0
2024-08-31,The Proposal,2009,https://boxd.it/1HiS
2024-09-01,Toc Toc,2017,https://boxd.it/fwnq
