Date,Name,Year,Letterboxd URI,Rating
2018-03-11,The Theory of Everything,2014,https://boxd.it/7YtA,3.5
2018-03-11,Whiplash,2014,https://boxd.it/7bQA,3.5
2018-03-11,The Imitation Game,2014,https://boxd.it/6aig,5
2018-03-11,Boyhood,2014,https://boxd.it/3178,2.5
2018-03-11,Pulp Fiction,1994,https://boxd.it/29Pq,5
2018-03-11,The Shining,1980,https://boxd.it/29Nu,4.5
2018-03-11,Chinatown,1974,https://boxd.it/29vU,3.5
2018-03-11,Taxi Driver,1976,https://boxd.it/2b8y,4
2018-03-11,Django Unchained,2012,https://boxd.it/2cCk,5
2018-03-11,Midnight in Paris,2011,https://boxd.it/i4a,1.5
2018-03-11,The Maze Runner,2014,https://boxd.it/5YPM,4
2018-03-11,The Hunger Games,2012,https://boxd.it/2uds,4
2018-03-11,Silver Linings Playbook,2012,https://boxd.it/2TTo,4
2018-03-11,The Perks of Being a Wallflower,2012,https://boxd.it/2ZA8,3
2018-03-11,Birdman or (The Unexpected Virtue of Ignorance),2014,https://boxd.it/5RFA,2.5
2018-03-11,The Grand Budapest Hotel,2014,https://boxd.it/3ZqO,3.5
2018-03-11,American Beauty,1999,https://boxd.it/71Y,4
2018-03-11,Fight Club,1999,https://boxd.it/2a9q,4
2018-03-11,Maleficent,2014,https://boxd.it/3v1u,4
2018-03-11,The Silence of the Lambs,1991,https://boxd.it/2aHW,4
2018-03-11,Black Swan,2010,https://boxd.it/Sw0,4
2018-03-11,Inglourious Basterds,2009,https://boxd.it/1JzG,5
2018-03-11,Dallas Buyers Club,2013,https://boxd.it/4O8G,3.5
2018-03-11,One Flew Over the Cuckoo's Nest,1975,https://boxd.it/2aeA,3.5
2018-03-11,GoodFellas,1990,https://boxd.it/29FA,4.5
2018-03-11,The Hunger Games: Catching Fire,2013,https://boxd.it/3sAw,5
2018-03-11,The Hunger Games: Mockingjay – Part 1,2014,https://boxd.it/4hka,5
2018-03-11,The Hunger Games: Mockingjay – Part 2,2015,https://boxd.it/4hk0,5
2018-03-11,In Time,2011,https://boxd.it/FPS,2
2018-03-11,Eyes Wide Shut,1999,https://boxd.it/2axs,4.5
2018-03-11,The Secret in Their Eyes,2009,https://boxd.it/1vWw,4.5
2018-03-11,The Breakfast Club,1985,https://boxd.it/27q4,4
2018-03-11,Gangs of New York,2002,https://boxd.it/25FG,4.5
2018-03-11,The Great Gatsby,2013,https://boxd.it/JY,3.5
2018-03-11,Rebel Without a Cause,1955,https://boxd.it/2aQu,4
2018-03-11,The Social Network,2010,https://boxd.it/17ue,3
2018-03-11,"Crazy, Stupid, Love.",2011,https://boxd.it/D9A,3.5
2018-03-11,The Avengers,2012,https://boxd.it/1xFW,3
2018-03-11,Avengers: Age of Ultron,2015,https://boxd.it/3qi6,3
2018-03-11,Slumdog Millionaire,2008,https://boxd.it/1S3E,4.5
2018-03-11,No Strings Attached,2011,https://boxd.it/YUs,4
2018-03-11,Mr. & Mrs. Smith,2005,https://boxd.it/29CG,4
2018-03-11,Mean Girls,2004,https://boxd.it/1VNg,5
2018-03-11,Breakfast at Tiffany's,1961,https://boxd.it/2aYS,4
2018-03-11,Beginners,2010,https://boxd.it/s2S,3.5
2018-03-11,Burlesque,2010,https://boxd.it/Xfo,3
2018-03-11,Enemy,2013,https://boxd.it/5xtO,1
2018-03-11,The Tourist,2010,https://boxd.it/17Hs,3
2018-03-11,American Sniper,2014,https://boxd.it/5LDy,1.5
2018-03-11,"Girl, Interrupted",1999,https://boxd.it/25ds,4
2018-03-11,Kill Bill: Vol. 1,2003,https://boxd.it/70w,5
2018-03-11,Kill Bill: Vol. 2,2004,https://boxd.it/2au4,5
2018-03-11,Pride & Prejudice,2005,https://boxd.it/24u8,4
2018-03-11,Nightcrawler,2014,https://boxd.it/780m,4.5
2018-03-11,The Iron Lady,2011,https://boxd.it/2qli,3.5
2018-03-11,Pretty Woman,1990,https://boxd.it/2b6M,0.5
2018-03-11,The Wolf of Wall Street,2013,https://boxd.it/3C1m,5
2018-03-11,Forrest Gump,1994,https://boxd.it/728,0.5
2018-03-11,Love & Other Drugs,2010,https://boxd.it/UIi,4
2018-03-11,Good Will Hunting,1997,https://boxd.it/2ahY,3.5
2018-03-11,The First Time,2012,https://boxd.it/2XLS,2.5
2018-03-11,(500) Days of Summer,2009,https://boxd.it/1EmM,2
2018-03-11,Les Misérables,2012,https://boxd.it/2TT4,5
2018-03-11,Escape from Alcatraz,1979,https://boxd.it/1Vwk,4
2018-03-11,The Art of Getting By,2011,https://boxd.it/KC,4
2018-03-11,Reservoir Dogs,1992,https://boxd.it/2agc,3
2018-03-11,Interview with the Vampire,1994,https://boxd.it/29XO,3.5
2018-03-11,Se7en,1995,https://boxd.it/29zs,5
2018-03-11,Rear Window,1954,https://boxd.it/2a6Q,3.5
2018-03-11,Interstellar,2014,https://boxd.it/4VZ8,5
2018-03-11,Big Eyes,2014,https://boxd.it/36ms,4.5
2018-03-11,The Interview,2014,https://boxd.it/6KQ4,2.5
2018-03-11,Ferris Bueller's Day Off,1986,https://boxd.it/1YPY,1
2018-03-11,10 Things I Hate About You,1999,https://boxd.it/23AO,4
2018-03-11,Elizabethtown,2005,https://boxd.it/1Ydq,3
2018-03-11,Walk of Shame,2014,https://boxd.it/5Ghi,2
2018-03-11,Life As We Know It,2010,https://boxd.it/162S,4
2018-03-11,L.A. Confidential,1997,https://boxd.it/27oC,3.5
2018-03-11,The Wave,2008,https://boxd.it/20OS,4
2018-03-11,Sex and the City,2008,https://boxd.it/246q,4
2018-03-11,Sex and the City 2,2010,https://boxd.it/17w0,4
2018-03-11,Léon: The Professional,1994,https://boxd.it/2b8S,4
2018-03-11,American Psycho,2000,https://boxd.it/28Vs,4.5
2018-03-11,The Prestige,2006,https://boxd.it/293w,2.5
2018-03-11,The Devil's Advocate,1997,https://boxd.it/286k,5
2018-03-11,The Help,2011,https://boxd.it/EDm,3.5
2018-03-11,Wild Tales,2014,https://boxd.it/7UmK,5
2018-03-11,Moonrise Kingdom,2012,https://boxd.it/2Wng,3
2018-03-11,The Godfather,1972,https://boxd.it/2aNK,5
2018-03-11,The Godfather Part II,1974,https://boxd.it/2aNq,5
2018-03-11,The Godfather Part III,1990,https://boxd.it/2aN6,4
2018-03-11,Thank You for Smoking,2005,https://boxd.it/1YOc,4
2018-03-11,Changeling,2008,https://boxd.it/25aS,3.5
2018-03-11,The Names of Love,2010,https://boxd.it/CHQ,3.5
2018-03-11,In the Land of Women,2007,https://boxd.it/1QV0,2.5
2018-03-11,Some Like It Hot,1959,https://boxd.it/2aNA,4
2018-03-11,The Last Angry Man,1959,https://boxd.it/49B8,5
2018-03-11,Never Been Kissed,1999,https://boxd.it/1U3c,1
2018-03-11,She's All That,1999,https://boxd.it/1Wz0,1
2018-03-11,When in Rome,2010,https://boxd.it/1Q5S,2.5
2018-03-11,Chef,2014,https://boxd.it/6lCG,3
2018-03-11,The Usual Suspects,1995,https://boxd.it/29XE,5
2018-03-11,Cry-Baby,1990,https://boxd.it/1XRa,0.5
2018-03-11,The Switch,2010,https://boxd.it/ZVw,3
2018-03-11,"Love, Rosie",2014,https://boxd.it/62hE,4.5
2018-03-11,Romeo & Juliet,2013,https://boxd.it/3dAQ,2
2018-03-11,The Second Mother,2015,https://boxd.it/9Ydm,4
2018-03-11,Adaline,2015,https://boxd.it/cUem,4.5
2018-03-11,S.O.S.: Women to the Sea,2014,https://boxd.it/6Jba,3.5
2018-03-11,Chicago,2002,https://boxd.it/28zm,4
2018-03-11,Kill Your Darlings,2013,https://boxd.it/4VRS,2
2018-03-11,Inside Out,2015,https://boxd.it/4KHC,4
2018-03-11,Casanova,2005,https://boxd.it/1Y4e,3.5
2018-03-11,Submarine,2010,https://boxd.it/H4a,2.5
2018-03-11,Coco Before Chanel,2009,https://boxd.it/1Uv6,4
2018-03-11,A Royal Affair,2012,https://boxd.it/37Kq,4.5
2018-03-11,Scarface,1983,https://boxd.it/2b7g,5
2018-03-11,The Spectacular Now,2013,https://boxd.it/4VSG,3
2018-03-11,Flipped,2010,https://boxd.it/Tb8,4.5
2018-03-11,Hope Floats,1998,https://boxd.it/1XYU,3
2018-03-11,Love Is in the Air,2013,https://boxd.it/5czm,3.5
2018-03-11,X-Men: Days of Future Past,2014,https://boxd.it/4aRw,3.5
2018-03-11,X-Men: First Class,2011,https://boxd.it/FOA,4
2018-03-11,The Intern,2015,https://boxd.it/7AOE,4.5
2018-03-11,The DUFF,2015,https://boxd.it/8eP8,0.5
2018-03-11,Four Christmases,2008,https://boxd.it/1SjM,2
2018-03-11,Trainwreck,2015,https://boxd.it/8bdA,1
2018-03-11,The Little Death,2014,https://boxd.it/8qLM,4.5
2018-03-11,The Devil Wears Prada,2006,https://boxd.it/2awE,5
2018-03-12,Sicario,2015,https://boxd.it/8i7u,4
2018-03-12,Raging Bull,1980,https://boxd.it/28yI,3
2018-03-12,The King's Speech,2010,https://boxd.it/dX0,4.5
2018-03-12,We Are Your Friends,2015,https://boxd.it/9AlG,1.5
2018-03-12,Moneyball,2011,https://boxd.it/glS,3.5
2018-03-12,Mulholland Drive,2001,https://boxd.it/297o,4
2018-03-12,Burnt,2015,https://boxd.it/9mVg,3.5
2018-03-12,Artificial Paradises,2012,https://boxd.it/3N68,3
2018-03-12,A River Runs Through It,1992,https://boxd.it/2aFm,2.5
2018-03-12,The Best of Me,2014,https://boxd.it/73cs,2
2018-03-12,Ex Machina,2015,https://boxd.it/7T2k,5
2018-03-12,The Danish Girl,2015,https://boxd.it/9Ohy,4
2018-03-12,About Time,2013,https://boxd.it/43bI,3.5
2018-03-12,Joy,2015,https://boxd.it/8kEU,2.5
2018-03-12,Mad Max: Fury Road,2015,https://boxd.it/2DjO,2
2018-03-12,Brooklyn,2015,https://boxd.it/5bdk,3
2018-03-12,Carol,2015,https://boxd.it/7DPK,4
2018-03-12,The Big Short,2015,https://boxd.it/ajZw,3
2018-03-12,The Revenant,2015,https://boxd.it/8H5e,3.5
2018-03-12,Room,2015,https://boxd.it/7T0y,4.5
2018-03-12,Dope,2015,https://boxd.it/9Tho,3.5
2018-03-12,Spotlight,2015,https://boxd.it/a84k,4.5
2018-03-12,Primal Fear,1996,https://boxd.it/28ws,4.5
2018-03-12,Memento,2000,https://boxd.it/2bcK,4
2018-03-12,No Country for Old Men,2007,https://boxd.it/21ew,3.5
2018-03-12,Neighbors,2014,https://boxd.it/5Txe,2
2018-03-12,Before Sunrise,1995,https://boxd.it/2bcU,5
2018-03-12,Before Sunset,2004,https://boxd.it/2bcg,5
2018-03-12,Before Midnight,2013,https://boxd.it/4ive,5
2018-03-12,Anna Karenina,2012,https://boxd.it/3lyy,4
2018-03-12,How to Be Single,2016,https://boxd.it/7GJq,2.5
2018-03-12,Snatch,2000,https://boxd.it/2b7U,2.5
2018-03-12,The Man from U.N.C.L.E.,2015,https://boxd.it/67lG,4
2018-03-12,The Broken Circle Breakdown,2012,https://boxd.it/4pHm,4
2018-03-12,50/50,2011,https://boxd.it/10Tw,3
2018-03-12,American History X,1998,https://boxd.it/2bdo,4
2018-03-12,Casino,1995,https://boxd.it/2ads,4
2018-03-12,"Definitely, Maybe",2008,https://boxd.it/20eU,4.5
